url	league_name
680	BELGIAN JUPILER PRO LEAGUE
361	ENGLISH LEAGUE TWO
1363	INTERNATIONAL
15029	CHILIAN CAMPEONATO NACIONAL
308	ROMANIAN LIGA I
111487	INTERNATIONAL
487	GERMAN 2. BUNDESLIGA
101151	JAPANESE J. LEAGUE DIVISION 1
112139	SAUDI ABDUL L. JAMEEL LEAGUE
111710	ARGENTINA PRIMERA DIVISIÓN
112606	USA MAJOR LEAGUE SOCCER
100831	SPANISH SEGUNDA DIVISIÓN
110065	SPANISH SEGUNDA DIVISIÓN
110890	ENGLISH LEAGUE TWO
111710	ARGENTINA PRIMERA DIVISIÓN
710	SWEDISH ALLSVENSKAN
110500	GERMAN 3. BUNDESLIGA
319	SWEDISH ALLSVENSKAN
111108	INTERNATIONAL
110738	ITALIAN SERIE B
110746	POLISH T-MOBILE EKSTRAKLASA
111560	BELGIAN JUPILER PRO LEAGUE
1357	INTERNATIONAL
127	ENGLISH LEAGUE ONE
1954	ENGLISH LEAGUE ONE
210	FRENCH LIGUE 2
1364	INTERNATIONAL
205	ITALIAN SERIE B
614	FRENCH LIGUE 2
433	SWEDISH ALLSVENSKAN
77	SCOTTISH PREMIERSHIP
112387	SAUDI ABDUL L. JAMEEL LEAGUE
110734	ITALIAN SERIE B
110591	GERMAN 3. BUNDESLIGA
226	FRENCH LIGUE 2
894	SWISS SUPER LEAGUE
110592	GERMAN 3. BUNDESLIGA
708	SWEDISH ALLSVENSKAN
112224	AUSTRALIAN HYUNDAI A-LEAGUE
110396	ARGENTINA PRIMERA DIVISIÓN
199	ITALIAN SERIE B
10031	PORTUGUESE LIGA ZON SAGRES
111140	USA MAJOR LEAGUE SOCCER
110152	MEXICAN LIGA MX
1355	INTERNATIONAL
2023	SPANISH SEGUNDA DIVISIÓN
110502	GERMAN 2. BUNDESLIGA
110597	GERMAN 3. BUNDESLIGA
110955	CHINESE SUPER LEAGUE
101041	TURKISH SÜPER LIG
172	GERMAN 3. BUNDESLIGA
100646	HOLLAND EREDIVISIE
111132	REP. IRELAND AIRTRICITY LEAGUE
110645	GERMAN 3. BUNDESLIGA
100769	RUSSIAN PREMIER LEAGUE
113142	TURKISH SÜPER LIG
112516	PORTUGUESE LIGA ZON SAGRES
113677	CAMPEONATO BRASILEIRO SÉRIE A
111465	INTERNATIONAL
101150	JAPANESE J. LEAGUE DIVISION 1
111657	ITALIAN SERIE B
101025	TURKISH SÜPER LIG
112978	CHINESE SUPER LEAGUE
112162	CHINESE SUPER LEAGUE
111339	TURKISH SÜPER LIG
111397	AUSTRALIAN HYUNDAI A-LEAGUE
111659	FRENCH LIGUE 2
110580	ARGENTINA PRIMERA DIVISIÓN
110373	ITALIAN SERIE B
111575	JAPANESE J. LEAGUE DIVISION 1
110456	FRENCH LIGUE 2
260	SPANISH SEGUNDA DIVISIÓN
1936	ENGLISH LEAGUE TWO
1815	FRENCH LIGUE 2
159	GERMAN 2. BUNDESLIGA
837	REP. IRELAND AIRTRICITY LEAGUE
1516	DANISH SUPERLIGA
1334	INTERNATIONAL
634	HOLLAND EREDIVISIE
101025	TURKISH SÜPER LIG
81	SCOTTISH PREMIERSHIP
1477	KOREAN K LEAGUE CLASSIC
100081	BELGIAN JUPILER PRO LEAGUE
200	ITALIAN SERIE B
298	NORWEGIAN ELITESERIEN
531	GERMAN 3. BUNDESLIGA
165	GERMAN 2. BUNDESLIGA
696	USA MAJOR LEAGUE SOCCER
1933	ENGLISH LEAGUE ONE
271	DANISH SUPERLIGA
111768	CHINESE SUPER LEAGUE
1898	PORTUGUESE LIGA ZON SAGRES
15015	ENGLISH LEAGUE ONE
477	SPANISH SEGUNDA DIVISIÓN
694	USA MAJOR LEAGUE SOCCER
687	USA MAJOR LEAGUE SOCCER
1968	SPANISH SEGUNDA DIVISIÓN
468	SPANISH SEGUNDA DIVISIÓN
112627	FRENCH LIGUE 2
695	USA MAJOR LEAGUE SOCCER
506	GERMAN 2. BUNDESLIGA
110197	GERMAN 3. BUNDESLIGA
110776	TURKISH SÜPER LIG
100634	HOLLAND EREDIVISIE
702	SWEDISH ALLSVENSKAN
111466	INTERNATIONAL
1739	FRENCH LIGUE 2
112092	JAPANESE J. LEAGUE DIVISION 1
1955	ENGLISH LEAGUE ONE
